data,ora,consumo
20231206,14,2700
20231206,15,2800
20231206,16,2700
20231206,17,2600
20231206,18,2500
20231206,19,2400
20231206,20,2300
20231206,21,1900
20231206,22,1700
20231206,23,1400
20231207,0,650
20231207,1,660
20231207,2,670
20231207,3,680
20231207,4,690
20231207,5,700
20231207,6,710
20231207,7,1800
20231207,8,2000
20231207,9,2300
20231207,10,2400
20231207,11,2500
20231207,12,2600
20231207,13,2700
20231207,14,2800
20231207,15,2900
20231207,16,2800
20231207,17,2700
20231207,18,2600
20231207,19,2500
20231207,20,2400
20231207,21,2000
20231207,22,1800
20231207,23,1500
20231208,0,700
20231208,1,710
20231208,2,720
20231208,3,730
20231208,4,740
20231208,5,750
20231208,6,760
20231208,7,1900
20231208,8,2100
20231208,9,2400
20231208,10,2500
20231208,11,2600
20231208,12,2700
20231208,13,2800
20231208,14,2900
20231208,15,3000
20231208,16,2900
20231208,17,2800
20231208,18,2700
20231208,19,2600
20231208,20,2500
20231208,21,2100
20231208,22,1900
20231208,23,1600
20231209,0,750
20231209,1,760
20231209,2,770
20231209,3,780
20231209,4,790
20231209,5,800
20231209,6,810
20231209,7,2000
20231209,8,2200
20231209,9,2500
20231209,10,2600
20231209,11,2700
20231209,12,2800
20231209,13,2900
20231209,14,3000
20231209,15,3100
20231209,16,3000
20231209,17,2900
20231209,18,2800
20231209,19,2700
20231209,20,2600
20231209,21,2200
20231209,22,2000
20231209,23,1700
20231210,0,800
20231210,1,810
20231210,2,820
20231210,3,830
20231210,4,840
20231210,5,850
20231210,6,860
20231210,7,2100
20231210,8,2300
20231210,9,2600
20231210,10,2700
20231210,11,2800
20231210,12,2900
20231210,13,3000
20231210,14,3100
20231210,15,3200
20231210,16,3100
20231210,17,3000
20231210,18,2900
20231210,19,2800
20231210,20,2700
20231210,21,2300
20231210,22,2100
20231210,23,1800
20231211,0,850
20231211,1,860
20231211,2,870
20231211,3,880
20231211,4,890
20231211,5,900
20231211,6,910
20231211,7,2200
20231211,8,2400
20231211,9,2700
20231211,10,2800
20231211,11,2900
20231211,12,3000
20231211,13,3100
20231211,14,3200
20231211,15,3300
20231211,16,3200
20231211,17,3100
20231211,18,3000
20231211,19,2900
20231211,20,2800
20231211,21,2400
20231211,22,2200
20231211,23,1900
20231212,0,900
20231212,1,910
20231212,2,920
20231212,3,930
20231212,4,940
20231212,5,950
20231212,6,960
20231212,7,2300
20231212,8,2500
20231212,9,2800
20231212,10,2900
20231212,11,3000
20231212,12,3100
20231212,13,3200
20231212,14,3300
20231212,15,3400
20231212,16,3300
20231212,17,3200
20231212,18,3100
20231212,19,3000
20231212,20,2900
